model,pricing_category,price_per_1m_input_tokens,price_per_1m_output_tokens,price_per_1m_cache_read,price_per_1m_cache_write_5m,price_per_1m_cache_write_1h
ai21.jamba-1-5-large,AI21 Labs,2.0,8.0,,,
ai21.jamba-1-5-mini,AI21 Labs,0.2,0.4,,,
ai21.jamba-instruct,AI21 Labs,0.5,0.7,,,
ai21.jurassic-2-mid,AI21 Labs,12.5,12.5,,,
ai21.jurassic-2-ultra,AI21 Labs,18.8,18.8,,,
amazon.nova-2-lite,"Input modalities Text, Image, Video",0.3,2.5,,,
amazon.nova-2-lite,"Input modalities Text, Image, Video",0.165,1.375,,,
amazon.nova-2-lite,"Input modalities Text, Image, Video",0.5775,4.8125,,,
amazon.nova-2-lite,"Input modalities Text, Image, Video",0.1595,1.342,,,
amazon.nova-2-lite,"Input modalities Text, Image, Video",0.33,2.75,,,
amazon.nova-2-lite,"Input modalities Text, Image, Video",0.15,1.25,,,
amazon.nova-2-lite,"Input modalities Text, Image, Video",0.525,4.375,,,
amazon.nova-2-sonic,On-Demand pricing for speech to speech foundation models,0.33,2.75,,,
amazon.nova-2-sonic,On-Demand pricing for speech to speech foundation models,3.0,12.0,,,
amazon.nova-lite,"Input modalities Text, Image, Video",0.06,0.24,,,
amazon.nova-lite,"Input modalities Text, Image, Video",0.03,0.12,,,
amazon.nova-lite,On Demand Inference,0.06,0.24,,,
amazon.nova-micro,"Input modalities Text, Image, Video",0.0175,0.07,,,
amazon.nova-micro,"Input modalities Text, Image, Video",0.035,0.14,,,
amazon.nova-micro,On Demand Inference,0.035,0.14,,,
amazon.nova-premier,"Input modalities Text, Image, Video",4.375,21.875,,,
amazon.nova-premier,"Input modalities Text, Image, Video",2.5,12.5,,,
amazon.nova-premier,"Input modalities Text, Image, Video",1.25,6.25,,,
amazon.nova-pro,"Input modalities Text, Image, Video",0.8,3.2,,,
amazon.nova-pro,"Input modalities Text, Image, Video",1.4,5.6,,,
amazon.nova-pro,"Input modalities Text, Image, Video",0.4,1.6,,,
amazon.nova-pro,On Demand Inference,0.8,3.2,,,
amazon.nova-pro-w-latency-optimized-inference,"Input modalities Text, Image, Video",1.0,4.0,,,
amazon.nova-sonic,On-Demand pricing for speech to speech foundation models,0.06,0.24,,,
amazon.nova-sonic,On-Demand pricing for speech to speech foundation models,3.4,13.6,,,
amazon.titan-text-embeddings-v2,On-Demand and Batch pricing for text models,0.02,,,,
anthropic.claude-3-5-haiku,Geo and In-region Cross-region Inference,0.8,4.0,0.08,1.0,
anthropic.claude-3-5-sonnet,Geo and In-region Cross-region Inference,6.0,30.0,,,
anthropic.claude-3-5-sonnet,Geo and In-region Cross-region Inference,3.0,15.0,,,
anthropic.claude-3-5-sonnet-v2,Geo and In-region Cross-region Inference,3.0,15.0,0.3,3.75,
anthropic.claude-3-5-sonnet-v2,Geo and In-region Cross-region Inference,6.0,30.0,0.6,7.5,
anthropic.claude-3-7-sonnet,Geo and In-region Cross-region Inference,3.0,15.0,0.3,3.75,
anthropic.claude-3-haiku,Geo and In-region Cross-region Inference,0.25,1.25,,,
anthropic.claude-4-5-haiku,Geo and In-region Cross-region Inference,1.1,5.5,0.11,1.375,2.2
anthropic.claude-opus-4,Geo and In-region Cross-region Inference,15.0,75.0,1.5,18.75,
anthropic.claude-opus-4-1,Geo and In-region Cross-region Inference,15.0,75.0,1.5,18.75,
anthropic.claude-opus-4-5,Geo and In-region Cross-region Inference,5.5,27.5,0.55,6.875,11.0
anthropic.claude-opus-4-6,Geo and In-region Cross-region Inference,5.5,27.5,0.55,6.875,11.0
anthropic.claude-opus-4-7,Geo and In-region Cross-region Inference,5.5,27.5,0.55,6.875,11.0
anthropic.claude-opus-4-8,Geo and In-region Cross-region Inference,5.5,27.5,0.55,6.875,11.0
anthropic.claude-sonnet-4,Geo and In-region Cross-region Inference,3.0,15.0,0.3,3.75,
anthropic.claude-sonnet-4-5,Geo and In-region Cross-region Inference,3.3,16.5,0.33,4.125,6.6
anthropic.claude-sonnet-4-6,Geo and In-region Cross-region Inference,3.3,16.5,0.33,4.125,6.6
cohere.embed-4-model,Cohere,0.12,,,,
deepseek.deepseek-r1,Standard tier pricing,1.35,5.4,,,
deepseek.deepseek-v3-1,Flex tier pricing,0.2987,0.8652,,,
deepseek.deepseek-v3-1,Flex tier pricing,0.29,0.84,,,
deepseek.deepseek-v3-1,Priority tier pricing,1.015,2.94,,,
deepseek.deepseek-v3-1,Priority tier pricing,1.0455,3.0282,,,
deepseek.deepseek-v3-1,Standard tier pricing,0.5974,1.7304,,,
deepseek.deepseek-v3-1,Standard tier pricing,0.58,1.68,,,
deepseek.deepseek-v3-2,Standard tier pricing,0.6386,1.9055,,,
deepseek.deepseek-v3-2,Standard tier pricing,0.62,1.85,,,
deepseek.deepseek-v3-2,Standard tier pricing,0.74,2.22,,,
global.anthropic.claude-haiku-4-5,Global Cross-region Inference,1.0,5.0,0.1,1.25,2.0
global.anthropic.claude-opus-4-5,Global Cross-region Inference,5.0,25.0,0.5,6.25,10.0
global.anthropic.claude-opus-4-6,Global Cross-region Inference,5.0,25.0,0.5,6.25,10.0
global.anthropic.claude-opus-4-7,Global Cross-region Inference,5.0,25.0,0.5,6.25,10.0
global.anthropic.claude-opus-4-8,Global Cross-region Inference,5.0,25.0,0.5,6.25,10.0
global.anthropic.claude-sonnet-4,Global Cross-region Inference,3.0,15.0,0.3,3.75,
global.anthropic.claude-sonnet-4-5,Global Cross-region Inference,3.0,15.0,0.3,3.75,6.0
global.anthropic.claude-sonnet-4-6,Global Cross-region Inference,3.0,15.0,0.3,3.75,6.0
global.twelvelabs.pegasus-1-2,Global Cross-region Inference,,7.5,,,
google.gemma-3-12b,Google,0.14,0.45,,,
google.gemma-3-12b,Google,0.11,0.34,,,
google.gemma-3-12b,Google,0.11,0.35,,,
google.gemma-3-12b,Google,0.09,0.29,,,
google.gemma-3-12b,Google,0.0927,0.2987,,,
google.gemma-3-27b,Google,0.27,0.45,,,
google.gemma-3-27b,Google,0.28,0.46,,,
google.gemma-3-27b,Google,0.36,0.59,,,
google.gemma-3-27b,Google,0.23,0.38,,,
google.gemma-3-27b,Google,0.2369,0.3914,,,
google.gemma-3-4b,Google,0.06,0.12,,,
google.gemma-3-4b,Google,0.05,0.09,,,
google.gemma-3-4b,Google,0.05,0.1,,,
google.gemma-3-4b,Google,0.0412,0.0824,,,
google.gemma-3-4b,Google,0.04,0.08,,,
